user_id,activity_date,activity_type
1074,2024-05-30,login
1048,2024-04-26,review
1373,2024-01-05,review
2610,2024-02-24,review
1089,2024-06-23,subscription
2105,2024-04-08,review
857,2024-03-26,review
2172,2024-04-20,login
2745,2024-09-02,subscription
354,2024-08-04,login
2723,2024-05-21,login
929,2024-01-14,subscription
1631,2024-04-25,review
700,2024-08-25,login
2547,2024-01-17,login
2737,2024-07-17,review
1727,2024-02-13,login
2541,2024-06-09,login
1315,2024-05-20,subscription
1931,2024-05-24,login
1819,2024-04-14,login
1968,2024-08-21,review
353,2024-05-05,login
2929,2024-08-07,login
636,2024-01-20,login
2630,2024-03-19,login
1639,2024-05-19,login
2801,2024-06-20,review
49,2024-04-15,login
2798,2024-07-17,subscription
1247,2024-08-01,login
1338,2024-08-30,subscription
2618,2024-07-21,login
456,2024-05-22,subscription
330,2024-01-24,subscription
1048,2024-07-04,subscription
202,2024-05-15,review
802,2024-02-10,login
61,2024-03-23,subscription
910,2024-03-30,login
1799,2024-03-24,review
2579,2024-03-03,login
575,2024-02-15,review
124,2024-04-12,review
1175,2024-01-13,subscription
1518,2024-02-26,review
1784,2024-06-22,subscription
1552,2024-07-23,login
548,2024-08-30,subscription
1960,2024-05-09,subscription
769,2024-07-25,login
2968,2024-03-21,login
2546,2024-03-13,login
2148,2024-03-26,review
59,2024-03-27,subscription
1882,2024-01-18,login
1851,2024-08-23,review
2365,2024-05-06,login
425,2024-03-24,subscription
1043,2024-06-23,login
2154,2024-02-03,login
2709,2024-07-06,login
1725,2024-07-28,review
888,2024-08-19,review
1449,2024-05-05,login
716,2024-05-26,login
1788,2024-06-08,review
543,2024-05-11,review
1466,2024-03-29,review
1585,2024-07-14,subscription
286,2024-05-21,login
215,2024-02-18,review
1829,2024-01-05,review
959,2024-01-18,login
759,2024-08-04,login
2687,2024-07-25,login
1095,2024-07-20,review
2240,2024-02-01,review
1672,2024-03-06,subscription
1413,2024-06-01,review
1228,2024-03-06,login
550,2024-01-13,login
1940,2024-07-18,subscription
607,2024-05-09,subscription
883,2024-05-10,subscription
1929,2024-01-22,subscription
808,2024-08-23,subscription
1215,2024-01-24,review
2963,2024-07-20,subscription
1664,2024-01-25,subscription
1118,2024-07-19,review
2092,2024-02-02,login
2236,2024-07-05,login
22,2024-03-08,subscription
1609,2024-04-08,login
416,2024-02-09,review
1694,2024-04-06,review
803,2024-03-20,login
1747,2024-04-16,subscription
2380,2024-02-27,login
863,2024-06-02,login
2092,2024-02-25,subscription
1558,2024-01-15,review
2150,2024-07-24,login
1684,2024-05-04,review
1616,2024-02-17,subscription
2434,2024-02-13,login
2696,2024-07-29,review
1389,2024-01-22,subscription
1962,2024-06-14,review
1134,2024-05-06,review
2110,2024-06-28,review
1656,2024-06-03,login
2081,2024-08-17,review
1622,2024-04-27,subscription
1045,2024-01-20,login
2924,2024-06-21,subscription
1173,2024-05-12,review
1255,2024-02-16,subscription
1068,2024-08-23,login
1195,2024-08-26,login
2400,2024-03-02,subscription
542,2024-04-30,review
2753,2024-08-02,login
2987,2024-03-26,login
1552,2024-07-02,login
788,2024-02-12,login
925,2024-05-03,login
2025,2024-06-03,login
2928,2024-06-18,subscription
1495,2024-05-19,review
242,2024-03-20,subscription
917,2024-01-05,subscription
878,2024-01-25,subscription
2897,2024-02-07,review
1476,2024-07-03,review
2748,2024-06-13,subscription
1512,2024-03-11,subscription
281,2024-08-29,login
1388,2024-06-19,review
2907,2024-05-02,subscription
1258,2024-03-22,subscription
732,2024-07-31,login
1578,2024-04-26,subscription
320,2024-03-08,subscription
1962,2024-07-13,login
768,2024-07-11,subscription
1213,2024-02-12,login
2525,2024-03-24,login
1569,2024-06-26,login
2477,2024-01-30,subscription
929,2024-01-15,subscription
764,2024-05-14,login
940,2024-07-20,login
1338,2024-05-15,review
67,2024-06-12,review
2381,2024-03-31,subscription
2613,2024-04-14,subscription
1514,2024-02-03,subscription
2511,2024-06-26,login
1027,2024-01-29,subscription
1283,2024-02-11,login
1671,2024-04-07,review
1129,2024-03-24,review
2166,2024-06-01,login
2371,2024-01-14,review
810,2024-06-21,review
1638,2024-06-27,review
2610,2024-04-04,login
1933,2024-03-26,login
2276,2024-03-07,subscription
2050,2024-03-15,subscription
2285,2024-03-12,review
2908,2024-02-26,login
2057,2024-01-04,subscription
668,2024-04-14,review
47,2024-02-16,review
2352,2024-03-18,review
1539,2024-02-21,review
838,2024-09-03,login
2748,2024-03-25,subscription
1855,2024-06-30,login
991,2024-03-02,subscription
814,2024-07-03,review
1968,2024-06-10,login
2693,2024-07-10,review
1245,2024-06-25,login
2346,2024-04-24,subscription
2294,2024-04-27,subscription
2967,2024-04-05,subscription
242,2024-06-30,subscription
2486,2024-05-23,review
1453,2024-04-23,login
296,2024-04-08,review
481,2024-04-27,review
76,2024-05-02,login
544,2024-04-08,review
2002,2024-06-25,review
647,2024-02-21,login
1664,2024-01-08,review
1313,2024-08-06,review
2138,2024-06-05,review
1467,2024-08-11,subscription
2974,2024-08-23,review
1779,2024-05-04,login
1075,2024-06-14,review
549,2024-05-14,login
1143,2024-03-04,login
1703,2024-08-18,review
2613,2024-07-14,review
754,2024-04-23,login
725,2024-07-23,subscription
1475,2024-05-15,subscription
710,2024-08-04,subscription
1537,2024-03-19,login
1461,2024-05-05,review
1718,2024-06-17,review
1902,2024-03-11,login
259,2024-02-03,login
1600,2024-01-26,review
1672,2024-01-03,review
1338,2024-07-20,subscription
2665,2024-04-17,subscription
1990,2024-08-28,subscription
581,2024-02-10,review
409,2024-06-21,review
258,2024-02-08,login
1938,2024-02-09,subscription
1549,2024-07-14,subscription
394,2024-06-20,subscription
734,2024-05-10,login
1819,2024-01-07,login
2037,2024-02-19,review
1754,2024-03-08,login
1755,2024-01-10,login
326,2024-03-02,review
1507,2024-02-18,login
1242,2024-09-03,review
2662,2024-06-14,login
2481,2024-06-09,subscription
1956,2024-05-30,review
197,2024-03-19,review
1894,2024-04-09,review
2991,2024-04-23,login
1614,2024-02-28,review
2967,2024-03-15,subscription
959,2024-03-11,login
1931,2024-04-06,subscription
2612,2024-08-13,subscription
28,2024-08-01,review
600,2024-06-06,subscription
2749,2024-07-14,subscription
1505,2024-08-19,review
2791,2024-04-29,review
1418,2024-01-08,review
2527,2024-05-02,login
1809,2024-07-07,subscription
1595,2024-01-01,review
1773,2024-03-29,login
1492,2024-02-24,login
640,2024-05-16,login
1657,2024-04-18,login
560,2024-05-20,subscription
1511,2024-02-17,subscription
2752,2024-03-18,login
514,2024-08-23,review
14,2024-05-07,login
172,2024-01-05,subscription
2036,2024-05-27,review
622,2024-08-27,subscription
1242,2024-02-14,subscription
2519,2024-04-27,subscription
2353,2024-08-20,review
403,2024-02-03,login
1647,2024-02-01,login
2975,2024-08-16,login
1843,2024-01-05,review
1362,2024-04-20,subscription
1068,2024-06-27,subscription
2669,2024-01-09,login
1212,2024-01-15,login
2317,2024-08-04,subscription
493,2024-05-15,login
2745,2024-08-08,login
1126,2024-03-15,subscription
296,2024-06-28,login
738,2024-04-18,subscription
2371,2024-03-03,login
1659,2024-08-27,subscription
1954,2024-04-07,subscription
1685,2024-02-27,login
2844,2024-09-03,subscription
33,2024-03-04,subscription
773,2024-01-05,subscription
2478,2024-04-08,subscription
631,2024-04-05,subscription
2591,2024-07-27,review
2153,2024-08-31,login
2073,2024-04-01,subscription
881,2024-07-13,review
652,2024-07-16,login
1035,2024-04-10,subscription
1235,2024-02-04,login
2243,2024-05-31,login
593,2024-05-22,login
1280,2024-02-09,login
2177,2024-02-19,login
2159,2024-04-10,subscription
1395,2024-05-10,subscription
1385,2024-08-23,subscription
1569,2024-05-11,subscription
2899,2024-02-03,review
490,2024-08-27,login
1519,2024-04-18,subscription
2831,2024-03-12,subscription
2776,2024-04-22,login
111,2024-06-28,login
340,2024-08-06,subscription
1759,2024-01-21,subscription
2645,2024-02-17,subscription
90,2024-05-31,subscription
994,2024-01-12,review
87,2024-08-08,review
2714,2024-07-24,login
1222,2024-02-23,review
1910,2024-01-29,review
455,2024-01-13,review
2080,2024-01-08,login
2105,2024-04-19,subscription
1253,2024-08-21,review
2486,2024-04-30,review
2535,2024-05-02,login
1542,2024-04-26,subscription
1304,2024-08-20,review
2931,2024-03-21,subscription
551,2024-07-11,review
1262,2024-06-02,review
2521,2024-07-16,subscription
389,2024-03-06,subscription
2695,2024-08-01,review
250,2024-06-08,subscription
2116,2024-01-11,review
1541,2024-07-08,login
654,2024-05-28,login
2918,2024-03-01,subscription
315,2024-06-23,subscription
2862,2024-08-10,login
736,2024-01-16,subscription
2611,2024-07-16,subscription
1002,2024-04-25,review
932,2024-07-05,subscription
1089,2024-08-02,review
1790,2024-04-15,subscription
130,2024-03-29,review
2521,2024-07-31,login
1546,2024-06-28,subscription
585,2024-06-30,review
2444,2024-07-10,login
1495,2024-03-18,subscription
2890,2024-06-30,review
2504,2024-07-05,login
267,2024-03-16,subscription
1872,2024-02-17,login
2943,2024-02-16,review
1598,2024-06-28,login
2039,2024-06-16,login
661,2024-07-11,review
889,2024-06-30,login
1917,2024-01-29,review
495,2024-08-21,subscription
1007,2024-04-17,review
803,2024-04-03,review
1085,2024-08-30,subscription
485,2024-05-24,review
1293,2024-02-26,subscription
969,2024-01-19,subscription
2541,2024-01-17,subscription
1457,2024-07-05,login
1854,2024-06-27,review
509,2024-01-23,login
713,2024-02-25,login
1234,2024-06-20,login
2622,2024-02-15,subscription
2885,2024-05-19,review
1033,2024-04-03,login
1470,2024-08-15,login
877,2024-03-02,subscription
2561,2024-05-16,login
2532,2024-09-02,review
186,2024-01-13,login
2595,2024-02-29,review
1459,2024-03-02,subscription
780,2024-04-28,login
902,2024-06-26,login
76,2024-04-26,review
943,2024-06-23,review
2353,2024-07-23,subscription
932,2024-05-24,review
834,2024-03-01,subscription
285,2024-05-19,subscription
564,2024-02-27,login
1472,2024-07-18,login
344,2024-07-17,review
1438,2024-07-03,subscription
2876,2024-02-29,login
2375,2024-01-20,subscription
1849,2024-03-17,review
1304,2024-07-24,subscription
2754,2024-02-02,review
1424,2024-03-15,login
1639,2024-03-11,subscription
2318,2024-08-23,subscription
1717,2024-02-19,review
1598,2024-05-07,subscription
1680,2024-03-22,review
10,2024-03-27,login
2079,2024-01-09,review
2486,2024-04-20,review
716,2024-05-20,subscription
2210,2024-07-04,review
1695,2024-06-13,subscription
988,2024-06-01,review
2309,2024-03-13,login
2246,2024-06-17,subscription
866,2024-08-19,login
2206,2024-05-27,subscription
2820,2024-06-13,login
178,2024-07-18,subscription
2416,2024-07-14,subscription
532,2024-02-23,login
1335,2024-05-07,subscription
2743,2024-02-22,review
1431,2024-03-04,subscription
2402,2024-04-29,subscription
2131,2024-07-23,login
1502,2024-04-23,subscription
829,2024-06-30,login
801,2024-06-10,review
1526,2024-08-23,review
2619,2024-07-06,review
2194,2024-04-21,login
1823,2024-07-28,subscription
1718,2024-08-16,review
2652,2024-01-01,subscription
1280,2024-01-03,review
2553,2024-07-09,login
1984,2024-04-17,login
2993,2024-07-14,review
2079,2024-04-13,login
2072,2024-04-07,login
1961,2024-06-06,subscription
1965,2024-03-02,login
1994,2024-01-20,subscription
2004,2024-08-07,subscription
1472,2024-09-02,review
247,2024-03-09,login
761,2024-04-16,subscription
1672,2024-01-13,subscription
2555,2024-08-17,review
1950,2024-03-03,review
2670,2024-07-05,subscription
2453,2024-08-02,login
2105,2024-06-14,subscription
1679,2024-02-18,review
2619,2024-03-10,subscription
1820,2024-02-25,subscription
1122,2024-02-26,login
1933,2024-02-25,subscription
1194,2024-01-14,subscription
1404,2024-01-12,subscription
1362,2024-02-11,review
452,2024-02-26,login
1021,2024-01-25,login
1044,2024-04-29,subscription
1466,2024-05-17,login
1384,2024-06-27,subscription
1669,2024-08-04,login
2514,2024-05-29,login
1213,2024-05-10,review
243,2024-01-04,review
379,2024-01-16,subscription
182,2024-06-17,subscription
1636,2024-02-12,review
2344,2024-01-04,review
1049,2024-05-15,subscription
2995,2024-03-17,review
855,2024-05-07,login
1283,2024-04-03,login
612,2024-02-10,login
1675,2024-08-19,login
1730,2024-05-17,subscription
123,2024-03-26,login
405,2024-05-03,subscription
1972,2024-03-13,review
301,2024-02-20,subscription
619,2024-07-28,review
288,2024-02-11,subscription
328,2024-01-07,login
2204,2024-07-17,review
1595,2024-08-02,subscription
913,2024-06-09,login
2685,2024-03-09,subscription
1337,2024-07-18,review
2288,2024-01-15,review
910,2024-03-10,login
365,2024-01-17,review
2890,2024-01-04,subscription
1748,2024-08-01,subscription
2741,2024-05-13,review
2014,2024-05-06,login
145,2024-03-29,review
523,2024-05-26,login
2291,2024-01-05,login
1445,2024-04-26,subscription
133,2024-02-07,review
2623,2024-02-10,subscription
374,2024-03-31,subscription
558,2024-06-01,review
2918,2024-04-13,subscription
1740,2024-08-19,login
179,2024-02-16,subscription
2330,2024-04-09,review
1225,2024-01-04,subscription
1256,2024-01-23,login
2280,2024-02-25,review
669,2024-06-16,review
2915,2024-04-28,review
2407,2024-04-28,subscription
2321,2024-03-30,review
2447,2024-03-12,review
2099,2024-08-09,review
861,2024-04-06,subscription
1730,2024-06-17,login
1513,2024-01-09,login
2335,2024-06-10,review
1657,2024-03-03,subscription
1544,2024-03-02,login
2119,2024-03-22,login
2358,2024-04-22,login
1688,2024-02-25,login
2391,2024-05-04,review
1933,2024-06-27,review
2202,2024-08-23,subscription
1323,2024-01-21,review
1414,2024-06-14,subscription
2910,2024-05-09,review
2222,2024-08-12,review
2544,2024-03-09,login
1552,2024-01-30,login
2849,2024-05-12,subscription
2997,2024-03-16,login
181,2024-09-01,subscription
1994,2024-06-11,login
1740,2024-04-12,login
2346,2024-07-02,subscription
660,2024-06-05,login
562,2024-07-05,review
2397,2024-09-02,login
2023,2024-02-07,subscription
1905,2024-01-24,review
1906,2024-04-23,subscription
820,2024-06-21,login
724,2024-02-26,review
1810,2024-06-03,review
2350,2024-06-28,login
2251,2024-08-28,login
690,2024-01-18,login
1659,2024-04-16,subscription
2154,2024-03-07,subscription
2779,2024-01-15,login
1962,2024-01-29,subscription
1745,2024-07-20,login
2800,2024-08-30,review
2537,2024-02-16,review
1457,2024-01-13,subscription
1543,2024-02-08,review
2149,2024-04-07,subscription
2775,2024-07-16,subscription
1179,2024-05-05,subscription
1384,2024-04-12,subscription
1946,2024-03-22,login
2562,2024-03-13,subscription
734,2024-05-15,login
938,2024-05-05,login
2717,2024-04-29,subscription
1338,2024-03-02,subscription
2147,2024-01-21,review
1085,2024-08-06,subscription
1175,2024-06-09,review
1119,2024-06-12,login
1257,2024-08-02,review
1170,2024-01-28,review
266,2024-04-22,login
1048,2024-04-07,subscription
226,2024-05-08,subscription
1868,2024-06-25,subscription
1191,2024-04-03,subscription
1948,2024-04-10,subscription
1197,2024-07-22,review
1422,2024-04-02,login
531,2024-06-08,review
1869,2024-02-23,login
2079,2024-03-25,login
82,2024-06-11,review
2424,2024-08-11,review
1072,2024-02-25,review
1096,2024-01-30,review
1456,2024-03-28,subscription
2601,2024-09-03,review
2382,2024-04-12,subscription
2794,2024-07-11,subscription
1052,2024-09-01,login
2977,2024-01-28,login
969,2024-07-04,review
1329,2024-07-30,login
203,2024-08-18,login
279,2024-02-12,subscription
1418,2024-03-22,subscription
1673,2024-08-25,review
2202,2024-07-31,login
1774,2024-03-05,login
2190,2024-06-07,review
2745,2024-07-12,review
617,2024-04-18,login
1730,2024-06-21,review
707,2024-03-23,subscription
1558,2024-07-03,login
2071,2024-01-05,subscription
776,2024-04-08,review
2572,2024-06-08,subscription
1770,2024-07-20,login
2530,2024-05-03,subscription
1668,2024-01-29,review
2346,2024-08-03,login
2712,2024-04-01,subscription
2263,2024-05-07,login
2102,2024-06-29,subscription
597,2024-04-16,login
638,2024-07-28,login
457,2024-02-29,login
862,2024-03-05,subscription
2147,2024-08-06,subscription
1069,2024-02-17,login
678,2024-01-31,subscription
2894,2024-01-28,review
415,2024-01-20,subscription
441,2024-07-07,subscription
1475,2024-07-22,review
2747,2024-08-18,subscription
2393,2024-03-21,review
1318,2024-04-23,login
2,2024-07-10,subscription
2673,2024-08-21,login
497,2024-05-19,review
2376,2024-04-10,subscription
1129,2024-06-25,review
2678,2024-06-20,review
1636,2024-07-31,subscription
1771,2024-04-17,review
2515,2024-07-07,login
1382,2024-03-30,subscription
166,2024-01-07,review
2739,2024-07-17,review
1068,2024-01-24,subscription
1594,2024-03-23,review
16,2024-03-28,login
1055,2024-03-30,login
225,2024-04-19,review
1939,2024-04-10,review
2362,2024-07-29,review
441,2024-08-09,subscription
190,2024-03-23,login
1724,2024-02-26,login
920,2024-02-04,review
1853,2024-01-15,subscription
1161,2024-05-21,review
613,2024-05-19,subscription
199,2024-05-24,subscription
1907,2024-04-29,subscription
1469,2024-04-13,login
2091,2024-07-11,review
1664,2024-05-06,review
1025,2024-04-20,login
476,2024-07-26,login
1784,2024-05-31,subscription
1896,2024-01-07,login
1899,2024-04-22,subscription
1903,2024-07-23,login
360,2024-06-03,subscription
938,2024-03-06,review
1249,2024-04-10,subscription
1651,2024-04-29,review
1905,2024-04-22,login
29,2024-08-11,review
295,2024-01-22,login
1262,2024-03-16,login
2945,2024-04-30,review
2958,2024-02-05,login
2292,2024-03-20,review
2259,2024-05-10,subscription
2207,2024-09-02,subscription
2617,2024-06-14,login
2318,2024-03-26,login
617,2024-08-26,login
471,2024-04-02,review
678,2024-05-29,review
2380,2024-01-07,review
2071,2024-03-17,subscription
2172,2024-04-09,login
2225,2024-02-09,login
665,2024-04-21,login
2651,2024-08-29,login
198,2024-03-09,subscription
1629,2024-08-20,review
2307,2024-06-30,review
638,2024-04-06,review
2007,2024-08-18,review
2035,2024-07-27,subscription
1913,2024-01-19,review
323,2024-09-01,subscription
2833,2024-04-10,login
1582,2024-05-05,review
338,2024-07-15,review
1879,2024-03-18,subscription
206,2024-06-26,login
1810,2024-04-21,subscription
2753,2024-01-05,review
2114,2024-08-26,review
401,2024-07-16,subscription
1377,2024-07-01,review
2727,2024-04-19,subscription
1409,2024-06-25,login
259,2024-07-23,subscription
2217,2024-05-10,review
2613,2024-02-19,subscription
1627,2024-04-28,login
1917,2024-08-14,review
2862,2024-02-09,login
392,2024-03-27,login
786,2024-08-13,subscription
931,2024-07-01,subscription
2370,2024-01-02,subscription
2022,2024-01-16,subscription
1915,2024-07-22,login
1106,2024-03-01,review
2974,2024-06-04,subscription
2752,2024-04-09,review
1063,2024-03-17,subscription
364,2024-06-06,subscription
2734,2024-05-25,subscription
12,2024-07-20,review
1859,2024-04-11,review
2315,2024-07-07,subscription
223,2024-06-10,login
2488,2024-07-05,review
1723,2024-01-08,subscription
1382,2024-05-22,login
2150,2024-07-09,subscription
1154,2024-06-21,subscription
786,2024-08-31,review
2419,2024-08-27,login
1474,2024-03-16,review
2848,2024-01-05,review
2005,2024-06-18,login
1994,2024-04-21,subscription
378,2024-02-16,login
363,2024-03-13,subscription
2238,2024-06-09,review
1810,2024-07-28,review
2365,2024-03-28,subscription
1729,2024-04-29,subscription
247,2024-01-13,review
1576,2024-08-21,login
554,2024-03-02,login
2311,2024-01-31,subscription
1805,2024-08-02,review
1351,2024-04-29,login
2577,2024-07-21,review
2594,2024-03-15,subscription
2760,2024-01-14,review
610,2024-08-03,login
2740,2024-06-11,subscription
908,2024-08-06,subscription
511,2024-02-24,subscription
1108,2024-01-30,review
2429,2024-03-08,subscription
1524,2024-08-07,login
2305,2024-04-27,subscription
62,2024-06-26,review
467,2024-03-06,login
1563,2024-04-05,review
2134,2024-07-03,review
1737,2024-04-03,subscription
1119,2024-03-09,subscription
2194,2024-05-02,login
580,2024-05-19,login
2483,2024-04-24,login
2905,2024-07-17,subscription
2141,2024-01-31,login
2258,2024-03-05,login
1227,2024-06-12,login
309,2024-05-09,review
2965,2024-03-02,login
772,2024-05-31,login
510,2024-04-20,subscription
2269,2024-04-17,subscription
2090,2024-07-26,review
572,2024-08-19,review
2195,2024-06-11,login
1278,2024-08-13,review
2349,2024-03-27,review
1031,2024-05-28,subscription
2515,2024-07-02,login
1029,2024-04-01,review
2891,2024-08-10,subscription
661,2024-01-04,review
467,2024-02-13,review
949,2024-07-02,login
550,2024-08-30,login
2869,2024-09-01,login
1820,2024-07-12,login
2343,2024-04-21,subscription
2353,2024-04-19,subscription
1977,2024-05-17,review
1471,2024-03-04,subscription
1167,2024-02-20,review
2803,2024-02-15,subscription
2120,2024-04-28,subscription
2387,2024-08-06,subscription
405,2024-08-01,login
2607,2024-03-21,review
2633,2024-02-14,review
1641,2024-04-25,review
2568,2024-04-05,review
1200,2024-04-24,login
2669,2024-01-21,login
2909,2024-03-13,review
1595,2024-07-12,subscription
654,2024-07-14,review
2847,2024-03-18,subscription
2077,2024-03-25,login
54,2024-01-13,review
51,2024-04-18,subscription
2125,2024-07-10,subscription
896,2024-04-15,login
1811,2024-03-17,login
2522,2024-04-03,review
2057,2024-09-03,subscription
2121,2024-07-29,subscription
1549,2024-05-12,login
1571,2024-06-05,subscription
1313,2024-06-11,login
33,2024-03-23,review
180,2024-05-15,subscription
954,2024-02-20,login
2494,2024-07-20,review
174,2024-01-12,login
1527,2024-04-11,login
2792,2024-04-25,login
1153,2024-05-07,login
1927,2024-03-12,subscription
468,2024-01-13,subscription
2624,2024-06-30,login
21,2024-05-25,review
2346,2024-01-10,review
2019,2024-03-18,review
86,2024-05-18,review
1319,2024-03-21,subscription
1736,2024-04-15,subscription
68,2024-01-03,review
1329,2024-03-15,subscription
548,2024-04-12,login
247,2024-03-23,review
2682,2024-04-08,subscription
1318,2024-09-03,subscription
2192,2024-07-22,subscription
165,2024-03-10,review
105,2024-08-02,subscription
2013,2024-06-18,subscription
435,2024-04-29,subscription
2270,2024-04-10,subscription
1388,2024-06-06,login
2219,2024-03-19,subscription
997,2024-04-23,login
870,2024-03-14,subscription
1686,2024-03-20,review
313,2024-02-11,login
1982,2024-01-01,review
1513,2024-07-09,login
2484,2024-03-30,subscription
2865,2024-01-18,login
2624,2024-04-19,review
1610,2024-03-10,review
1297,2024-02-09,subscription
34,2024-03-17,subscription
1581,2024-03-31,login
2125,2024-08-02,subscription
982,2024-08-16,subscription
316,2024-01-24,login
455,2024-05-27,review
1221,2024-05-05,login
1288,2024-01-16,subscription
1368,2024-04-24,login
2741,2024-02-10,subscription
2586,2024-05-09,subscription
1861,2024-07-10,review
2142,2024-04-16,review
2590,2024-03-23,login
116,2024-04-28,login
2773,2024-08-26,subscription
2648,2024-05-02,login
2802,2024-02-13,login
391,2024-03-07,review
593,2024-01-02,subscription
383,2024-07-24,login
1101,2024-07-18,subscription
1603,2024-06-16,login
2108,2024-03-08,subscription
1982,2024-05-15,login
1860,2024-03-30,subscription
2645,2024-05-29,subscription
899,2024-01-04,subscription
1990,2024-06-14,login
555,2024-04-05,review
2693,2024-02-29,review
426,2024-03-09,subscription
2766,2024-05-09,login
913,2024-04-12,review
437,2024-07-19,subscription
1268,2024-06-01,login
1281,2024-07-29,subscription
1441,2024-04-03,review
2618,2024-01-08,review
511,2024-01-29,subscription
2951,2024-04-09,review
2573,2024-05-13,review
21,2024-04-20,subscription
2674,2024-04-05,review
1013,2024-01-27,login
935,2024-04-05,review
1423,2024-07-07,review
461,2024-04-27,subscription
236,2024-04-04,subscription
1168,2024-05-22,review
741,2024-04-28,subscription
2070,2024-01-18,subscription
2561,2024-04-27,review
1457,2024-08-12,review
1414,2024-01-20,login
1838,2024-01-28,review
2628,2024-07-26,review
2230,2024-07-16,login
2095,2024-01-01,review
1431,2024-06-20,subscription
946,2024-04-20,login
2966,2024-05-29,subscription
2114,2024-03-17,login
2955,2024-04-04,subscription
986,2024-05-24,login
230,2024-05-12,subscription
2340,2024-08-26,login
747,2024-06-21,subscription
2866,2024-01-08,subscription
1471,2024-05-03,subscription
1579,2024-01-31,review
1550,2024-04-15,subscription
1716,2024-05-26,review
2921,2024-08-24,login
600,2024-07-24,review
47,2024-03-18,subscription
2184,2024-04-20,login
1121,2024-07-06,review
2385,2024-04-26,review
1912,2024-08-06,subscription
680,2024-07-20,subscription
867,2024-03-09,subscription
106,2024-05-18,login
2381,2024-07-09,review
1509,2024-05-14,login
1783,2024-06-29,subscription
2683,2024-04-10,review
987,2024-03-24,login
675,2024-06-01,subscription
2602,2024-06-06,review
2076,2024-06-27,login
789,2024-08-16,subscription
1633,2024-09-02,login
2849,2024-07-17,review
2622,2024-02-15,subscription
2544,2024-02-08,login
2108,2024-07-04,subscription
2455,2024-05-17,login
746,2024-08-01,review
589,2024-06-29,login
851,2024-04-05,login
527,2024-01-28,login
2907,2024-02-14,login
1969,2024-04-14,review
871,2024-02-12,review
2974,2024-06-20,review
1210,2024-02-23,login
872,2024-01-29,review
427,2024-07-30,login
506,2024-04-01,subscription
117,2024-01-22,subscription
1380,2024-07-08,login
2008,2024-06-19,review
2833,2024-07-26,login
1219,2024-04-17,subscription
2870,2024-04-13,review
2121,2024-06-26,subscription
1256,2024-01-13,login
913,2024-08-05,review
2925,2024-03-24,subscription
2110,2024-02-11,subscription
258,2024-03-25,subscription
2753,2024-02-12,review
